Word,Frequency,Part-of-speech,Percentage So Far
أَخْرَجَ,99,Verb,56.18574782
 جَنَّة,96,Noun,56.31526402
 حَتَّىٰ,95,Preposition,56.4434311
 هَل,93,Interogative particle,56.56889992
أَكَلَ,93,Verb,56.69436874
 دِين,92,Noun,56.81848844
 قَوْل,92,Noun,56.94260813
 مَا,92,Interogative particle,57.06672783
 ذُو,90,Noun,57.18814927
لَّيْسَ,89,Verb,57.30822158
 مَلَك,88,Noun,57.42694477
فَعَلَ,88,Verb,57.54566795
 مَثَل,87,Noun,57.66304201
نَّظَرَ,87,Verb,57.78041607
 مَال,86,Noun,57.896441
 وَلِىّ,86,Noun,58.01246593
 هُدًى,85,Noun,58.12714174
 حَكِيم,84,Adjective,58.24046842
 فَضْل,84,Noun,58.35379509
ذَكَرَ,84,Verb,58.46712177
 صَلَوٰة,83,Noun,58.57909932
خَافَ,83,Verb,58.69107687
قَتَلَ,83,Verb,58.80305442
 لَيْل,82,Noun,58.91368285
 بُنَىّ,80,Noun,59.02161302
 شَيْطَٰن,80,Proper noun,59.12954319
 كَيْف,80,Interogative particle,59.23747335
 يَوْم,80,Time adverb,59.34540352
 مَا,79,Subordinating conjunction,59.45198457
رَجَعَ,79,Verb,59.55856561
 أَصْحَٰب,78,Noun,59.66379752
 أَكْثَر,78,Noun,59.76902944
سَمِعَ,78,Verb,59.87426135
تَوَلَّىٰ,78,Verb,59.97949327
 جَهَنَّم,77,Proper noun,60.08337606
أَمَرَ,77,Verb,60.18725884
 حَيَوٰة,76,Noun,60.2897925
 ذِكْر,76,Noun,60.39232616
 زَوْج,76,Noun,60.49485983
دَخَلَ,76,Verb,60.59739349
 أَخ,75,Noun,60.69857802
 مِثْل,75,Noun,60.79976255
 نَّبِىّ,75,Noun,60.90094709
 أَحَد,74,Noun,61.00078249
 خَٰلِد,74,Noun,61.1006179
 دُّنْيَا,74,Adjective,61.20045331
 فِرْعَوْن,74,Proper noun,61.30028871
 عَٰلَمِين,73,Noun,61.39877499
جَزَىٰ,73,Verb,61.49726127
 أَلِيم,72,Adjective,61.59439842
 مُّبِين,72,Noun,61.69153558
أَطَاعَ,72,Verb,61.78867273
أَوْحَىٰٓ,72,Verb,61.88580988
 إِنسَٰن,71,Noun,61.98159791
 عَمَل,71,Noun,62.07738593
 وَجْه,71,Noun,62.17317396
أَشْرَكَ,71,Verb,62.26896198
أَلْقَىٰٓ,71,Verb,62.36475001
 قِيَٰمَة,70,Noun,62.4591889
 يَوْمَئِذ,70,Time adverb,62.5536278
وَعَدَ,70,Verb,62.6480667
 إِبْرَاهِيم,69,Proper noun,62.74115647
 قُرْءَان,68,Proper noun,62.83289712
أَنفَقَ,68,Verb,62.92463776
 بَعْد,66,Time adverb,63.01368015
 بَيْت,65,Noun,63.10137341
 لَٰكِن,65,Amendment particle,63.18906667
 يَمِين,65,Noun,63.27675994
غَفَرَ,65,Verb,63.3644532
 آبَاء,64,Noun,63.45079733
 أُمَّة,64,Noun,63.53714147
أَحْبَبْ,64,Verb,63.6234856
أَصَابَ,64,Verb,63.70982974
أَضَلَّ,64,Verb,63.79617388
 ٱبْن,63,Noun,63.88116888
 عَزِيز,63,Noun,63.96616389
 مَآء,63,Noun,64.0511589
تَابَ,63,Verb,64.13615391
 صَّٰلِحَٰت,62,Noun,64.21979979
 عَلِيم,62,Noun,64.30344567
 غَفُور,62,Noun,64.38709155
كَسَبَ,62,Verb,64.47073743
نَزَّلَ,62,Verb,64.55438331
 أَوَّل,61,Noun,64.63668007
تَلَىٰ,61,Verb,64.71897682
رَزَقَ,61,Verb,64.80127358
 صَٰلِح,60,Noun,64.8822212
 صَادِق,59,Noun,64.9618197
 نِسَآء,59,Noun,65.0414182
قَضَىٰٓ,59,Verb,65.1210167
نَصَرَ,59,Verb,65.2006152
 نَذِير,58,Noun,65.27886457
صَبَرَ,58,Verb,65.35711395
 عَيْن,57,Noun,65.43401419
 قَرْيَة,57,Noun,65.51091444
 لَٰكِنّ,57,Accusative particle,65.58781468
جَرَيْ,57,Verb,65.66471493
 نَهَار,56,Noun,65.74026605
 وَلَد,56,Noun,65.81581717
مَسَّ,56,Verb,65.89136828
 بَيِّنَة,55,Noun,65.96557028
 رِزْق,55,Noun,66.03977227
ضَرَبَ,55,Verb,66.11397426
 نَهَر,54,Noun,66.18682712
قَٰتَلَ,54,Verb,66.25967999
أَقَامَ,54,Verb,66.33253285
 جَمِيع,53,Noun,66.40403659
خَرَجَ,53,Verb,66.47554033
ضَلَّ,53,Verb,66.54704406
 أَجَل,52,Noun,66.61719867
 خَلْق,52,Noun,66.68735328
بَعَثَ,52,Verb,66.75750789
 جَنَّة,51,Proper noun,66.82631338
أَحْيَا,51,Verb,66.89511886
تَذَكَّرَ,51,Verb,66.96392434
أَهْلَكَ,51,Verb,67.03272982
 سُوٓء,50,Noun,67.10018618
 مَوْت,50,Noun,67.16764254
 نِعْمَة,50,Noun,67.23509889
ٱفْتَرَىٰ,50,Verb,67.30255525
 عَدُوّ,49,Noun,67.36866248
 غَيْب,49,Noun,67.4347697
 مُتَّقِين,49,Noun,67.50087693
 وَعْد,49,Noun,67.56698416
زَادَ,49,Verb,67.63309139
عَقَلُ,49,Verb,67.69919862
كَتَبَ,49,Verb,67.76530585
 بَصَر,48,Noun,67.83006395
 تَحْت,48,Noun,67.89482205
 دَار,48,Noun,67.95958015
 مُلْك,48,Noun,68.02433825
 أَن,47,Particle of interpretation,68.08774723
 حَتَّىٰ,47,Inceptive particle,68.1511562
 سَاعَة,47,Noun,68.21456518
 مُّبِين,47,Adjective,68.27797415
ظَنَّ,47,Verb,68.34138313
 أَبٌ,46,Noun,68.40344297
شَكَرَ,46,Verb,68.46550282
نَبَّأَ,46,Verb,68.52756267
 أُولِى,45,Noun,68.58827339
 إِيمَٰن,45,Noun,68.64898411
 رَّحْمَٰن,45,Noun,68.70969483
 صِرَٰط,45,Noun,68.77040555
 قَبْل,45,Time adverb,68.83111627
حَكَمَ,45,Verb,68.89182699
يَذَرَ,45,Verb,68.95253771
 آخَر,44,Noun,69.0118993
 أَمَّا,44,Explanation particle,69.07126089
 صَدْر,44,Noun,69.13062249
 قَدِير,44,Noun,69.18998408
 مُجْرِم,44,Noun,69.24934567
 مُشْرِك,44,Noun,69.30870727
حَسِبَ,44,Verb,69.36806886
شَهِدَ,44,Verb,69.42743045
مَلَكَتْ,44,Verb,69.48679205
نَادَىٰ,44,Verb,69.54615364
أَنذَرَ,44,Verb,69.60551523
 إِسْرَائِيل,43,Proper noun,69.6635277
 حَمْد,43,Noun,69.72154016
 قَلِيل,43,Noun,69.77955263
 نُوح,43,Proper noun,69.8375651
 نُور,43,Noun,69.89557756
 جَزَآء,42,Noun,69.9522409
 سَوْف,42,Future particle,70.00890424
 كَثِير,42,Noun,70.06556758
أُدْخِلَ,42,Verb,70.12223092
سَبَّحَ,42,Verb,70.17889426
ٱسْتَطَاعَ,42,Verb,70.23555759
 بَحْر,41,Noun,70.29087181
 دُّنْيَا,41,Noun,70.34618602
 سُبْحَٰن,41,Noun,70.40150023
 سَلَٰم,41,Noun,70.45681444
حَمَلَ,41,Verb,70.51212865
عَذَّبَ,41,Verb,70.56744286
عَلَّمَ,41,Verb,70.62275708
 شَرِيك,40,Noun,70.67672216
 شَهِيد,40,Noun,70.73068725
 لَوْلَآ,40,Exhortation particle,70.78465233
 وَيْل,40,Noun,70.83861741
بِئْسَ,40,Verb,70.8925825
بَلَغَ,40,Verb,70.94654758
تَرَكَ,40,Verb,71.00051267
خَشِىَ,40,Verb,71.05447775
أَرَيْ,40,Verb,71.10844284
ٱسْتَغْفَرَ,40,Verb,71.16240792
ٱسْتَكْبَرَ,40,Verb,71.21637301
ٱهْتَدَىٰ,40,Verb,71.27033809
تَوَكَّلْ,40,Verb,71.32430318
 إِذْن,39,Noun,71.37691913
 ٱسْم,39,Noun,71.42953509
 أَلَآ,39,Inceptive particle,71.48215105
 جَبَل,39,Noun,71.53476701
 سَمِيع,39,Noun,71.58738296
حَرَّمَ,39,Verb,71.63999892
مَّاتَ,39,Verb,71.69261488
 حِسَاب,38,Noun,71.74388171
 ضَلَٰل,38,Noun,71.79514854
 عَزِيز,38,Adjective,71.84641537
 مُحْسِن,38,Noun,71.8976822
بُشِّرَ,38,Verb,71.94894903
رَّضِىَ,38,Verb,72.00021586
 بَشَر,37,Noun,72.05013356
 ذَنب,37,Noun,72.10005127
 سُلْطَٰن,37,Noun,72.14996897
 عِند,37,Noun,72.19988667
 كُفْر,37,Noun,72.24980438
يَحْزُن,37,Verb,72.29972208
حَشَرَ,37,Verb,72.34963978
صَدَّ,37,Verb,72.39955749
نَجَّىٰ,37,Verb,72.44947519
 سَيِّـَٔات,36,Noun,72.49804377
 شَدِيد,36,Adjective,72.54661234
ذَاقُ,36,Verb,72.59518092
رَدَّ,36,Verb,72.64374949
 إِثْم,35,Noun,72.69096894
 أَحْسَن,35,Noun,72.73818839
 أَىّ,35,Interogative particle,72.78540784
 لَوْلَآ,35,Conditional particle,72.83262729
 مَتَٰع,35,Noun,72.87984674
بَيَّنُ,35,Verb,72.92706619
ٱخْتَلَفَ,35,Verb,72.97428564
ذَهَبَ,35,Verb,73.02150509
سَجَدَ,35,Verb,73.06872454
ٱسْتَوَىٰٓ,35,Verb,73.11594398
نَسِىَ,35,Verb,73.16316343
 أُمّ,34,Noun,73.20903376
 فِتْنَة,34,Noun,73.25490408
 مُّرْسَل,34,Noun,73.3007744
 مَرْيَم,34,Proper noun,73.34664472
 مَّعْرُوف,34,Noun,73.39251504
 مَن,34,Interogative particle,73.43838536
 مَّيِّت,34,Noun,73.48425569
 نَصِير,34,Noun,73.53012601
 ءَالَآء,34,Noun,73.57599633
ٱبْتَغَىٰ,34,Verb,73.62186665
 أَعْلَم,33,Noun,73.66638785
 شَمْس,33,Noun,73.71090904
 فَرِيق,33,Noun,73.75543024
 كَذِب,33,Noun,73.79995143
 كَلَّا,33,Aversion particle,73.84447263
 نَّعَم,33,Noun,73.88899382
قَامَ,33,Verb,73.93351502
 خَٰسِرِين,32,Noun,73.97668708
 زَكَوٰة,32,Noun,74.01985915
 عَٰقِبَة,32,Noun,74.06303122
 كَبِير,32,Adjective,74.10620329
أَعْرَضَ,32,Verb,74.14937535
كَفَىٰ,32,Verb,74.19254742
نَهَىٰ,32,Verb,74.23571949
 بَصِير,31,Noun,74.27754243
 حِين,31,Noun,74.31936537
 كَٰذِب,31,Noun,74.36118831
نَفَعَ,31,Verb,74.40301125
 حُكْم,30,Noun,74.44348507
 خَيْر,30,Adjective,74.48395888
 شَرّ,30,Noun,74.52443269
 قُوَّة,30,Noun,74.56490651
 مَلَأ,30,Noun,74.60538032
سَآءَ,30,Verb,74.64585413
عَسَى,30,Verb,74.68632795
لَبِثَ,30,Verb,74.72680176
وَلَّىٰ,30,Verb,74.76727557
 جُند,29,Noun,74.80640026
 رَجُل,29,Noun,74.84552495
 رِيح,29,Noun,74.88464963
 عَرْش,29,Noun,74.92377432
 عَهْد,29,Noun,74.962899
 غَفُور,29,Adjective,75.00202369
 كَأَنّ,29,Accusative particle,75.04114838
 نَبَأ,29,Noun,75.08027306
أَبْصَرَ,29,Verb,75.11939775
 أَبَدًا,28,Time adverb,75.15717331
 أَشَدّ,28,Noun,75.19494887
 حَدِيث,28,Noun,75.23272443
 ذُرِّيَّة,28,Noun,75.27049999
 رِجَال,28,Noun,75.30827555
 سِحْر,28,Noun,75.3460511
 كَرِيم,28,Adjective,75.38382666
 كَلِمَة,28,Noun,75.42160222
 مَسْجِد,28,Noun,75.45937778
 مَصِير,28,Noun,75.49715334
 مَّغْفِرَة,28,Noun,75.5349289
ٱسْتَجَابَ,28,Verb,75.57270446
رَّحِمَ,28,Verb,75.61048002
أَصْبَحَ,28,Verb,75.64825558
أَصْلَحَ,28,Verb,75.68603114
أَغْنَتْ,28,Verb,75.7238067
 أَنَّىٰ,27,Interogative particle,75.76023313
 بَاب,27,Noun,75.79665956
 غَٰفِل,27,Noun,75.83308599
 قَلِيل,27,Adjective,75.86951243
 قَمَر,27,Noun,75.90593886
 كَافِر,27,Noun,75.94236529
 لُوط,27,Proper noun,75.97879172
 مُنَٰفِقُون,27,Noun,76.01521815
 يُوسُف,27,Proper noun,76.05164459
جَٰهَدَ,27,Verb,76.08807102
عَصَا,27,Verb,76.12449745
عَفَا,27,Verb,76.16092388
أَفْلَحَ,27,Verb,76.19735031
قَدَّمَ,27,Verb,76.23377675
 آخَر,26,Adjective,76.26885405
 أَجْمَعِين,26,Noun,76.30393136
 ٱمْرَأَت,26,Noun,76.33900866
 بَٰطِل,26,Noun,76.37408597
 ثَمُود,26,Proper noun,76.40916327
 جَحِيم,26,Noun,76.44424058
 خَوْف,26,Noun,76.47931788
 سَوَآء,26,Noun,76.51439519
 كَيْد,26,Noun,76.54947249
 مَاذَا,26,Interogative particle,76.5845498
 ءَال,26,Noun,76.6196271
زَيَّنَ,26,Verb,76.65470441
 آدَم,25,Proper noun,76.68843258
 بَأْس,25,Noun,76.72216076
 جُنَاح,25,Noun,76.75588894
 حَسَنَة,25,Noun,76.78961712
 عِيسَى,25,Proper noun,76.8233453
 فَوْق,25,Noun,76.85707347
 لِسَان,25,Noun,76.89080165
 مَّكَان,25,Noun,76.92452983
 مِّيثَٰق,25,Noun,76.95825801
بَغَىٰ,25,Verb,76.99198618
جَٰدَلُ,25,Verb,77.02571436
خَلَا,25,Verb,77.05944254
يَشْعُرُ,25,Verb,77.09317072
قَدَرَ,25,Verb,77.1268989
 أُنثَىٰ,24,Noun,77.15927795
 أَىّ,24,Noun,77.191657
 إِيَّا,24,Personal pronoun,77.22403605
 طَعَام,24,Noun,77.2564151
 ظَالِم,24,Adjective,77.28879415
 عَاد,24,Proper noun,77.3211732
 فَاسِق,24,Noun,77.35355225
 لِقَآء,24,Noun,77.3859313
 مُسْلِم,24,Noun,77.41831035
 وَٰحِد,24,Adjective,77.4506894
 وَكِيل,24,Noun,77.48306845
كَادَ,24,Verb,77.51544751
تَوَفَّىٰ,24,Verb,77.54782656
 بَيْن,23,Noun,77.57885648
 حَيّ,23,Noun,77.6098864
 خَبِير,23,Adjective,77.64091633
 ذِكْرَىٰ,23,Noun,77.67194625
 شَهَٰدَة,23,Noun,77.70297617
 طَآئِفَة,23,Noun,77.7340061
 فُلْك,23,Noun,77.76503602
 قَرْن,23,Noun,77.79606595
 مَا,23,Conditional particle,77.82709587
 مُّسْتَقِيم,23,Noun,77.85812579
أَذِنَ,23,Verb,77.88915572
بَدَّلَ,23,Verb,77.92018564
فَتَنُ,23,Verb,77.95121556
لَعَنَ,23,Verb,77.98224549
أَنجَىٰ,23,Verb,78.01327541
 ٱلَّذِى,22,Conditional particle,78.04295621
 إِمَّا,22,Explanation particle,78.072637
 بَلَىٰ,22,Answer particle,78.1023178
 جِنّ,22,Noun,78.1319986
 خَبِير,22,Noun,78.16167939
 دُعَآء,22,Noun,78.19136019
 سَٰحِر,22,Noun,78.22104099
 سَبْع,22,Noun,78.25072178
 سَمْع,22,Noun,78.28040258
 ظُلُمَٰت,22,Noun,78.31008338
 مَأْوَىٰ,22,Noun,78.33976417
 مِسْكِين,22,Noun,78.36944497
 نَصْر,22,Noun,78.39912577
 وَٰحِدَة,22,Noun,78.42880656
جَمَعَ,22,Verb,78.45848736
أَذَاقَ,22,Verb,78.48816816
يَرْجُوا۟,22,Verb,78.51784895
رَفَعَ,22,Verb,78.54752975
سَخَّرَ,22,Verb,78.57721054
أَسْلَمَ,22,Verb,78.60689134
مَكَرَ,22,Verb,78.63657214
وَهَبَ,22,Verb,78.66625293
 آخِر,21,Adjective,78.6945846
 بَرّ,21,Noun,78.72291627
 رُوح,21,Noun,78.75124794
 سَيِّئَة,21,Noun,78.77957961
 شَهْر,21,Noun,78.80791128
 طَيِّبَٰت,21,Noun,78.83624295
 ظَنّ,21,Noun,78.86457462
 كَثِير,21,Adjective,78.89290629
 مُفْسِد,21,Noun,78.92123796
 مُّكَذِّبِين,21,Noun,78.94956963
 نَصِيب,21,Noun,78.9779013
 يَتِيم,21,Noun,79.00623297
أَحْسَنَ,21,Verb,79.03456464
ٱشْتَرَىٰ,21,Verb,79.06289631
كَتَمَ,21,Verb,79.09122798
مَّشَ,21,Verb,79.11955964
أَمَاتَ,21,Verb,79.14789131
ٱسْتُهْزِئَ,21,Verb,79.17622298
وَضَعَ,21,Verb,79.20455465
 بَصِير,20,Adjective,79.2315372
 بَعِيد,20,Adjective,79.25851974
 حِزْب,20,Noun,79.28550228
 حَسَن,20,Adjective,79.31248482
 حِكْمَة,20,Noun,79.33946736
 شَدِيد,20,Noun,79.36644991
 ظُلْم,20,Noun,79.39343245
 عِقَاب,20,Noun,79.42041499
 غَنِىّ,20,Noun,79.44739753
 كَم,20,Interogative particle,79.47438008
 لَدَي,20,Location adverb,79.50136262
 هَٰرُون,20,Proper noun,79.52834516
أَمِنَ,20,Verb,79.5553277
بَلَوْ,20,Verb,79.58231025
حَقَّ,20,Verb,79.60929279
أَحَلَّ,20,Verb,79.63627533
سَبَقَ,20,Verb,79.66325787
سَعَىٰ,20,Verb,79.69024041
أَعَدَّ,20,Verb,79.71722296
عَرَفَ,20,Verb,79.7442055
تَعَٰلَىٰ,20,Verb,79.77118804
أَقْسَمُ,20,Verb,79.79817058
قَصَّ,20,Verb,79.82515313
كَلَّمَ,20,Verb,79.85213567
أَنشَأَ,20,Verb,79.87911821
 أَوَّل,19,Adjective,79.90475163
 زِينَة,19,Noun,79.93038504
 شَاهِد,19,Noun,79.95601846
 شَجَرَة,19,Noun,79.98165187
 صَابِر,19,Noun,80.00728529
 ضُرّ,19,Noun,80.0329187
 طَيْر,19,Noun,80.05855212
 فَوْز,19,Noun,80.08418553
 مَرَّة,19,Noun,80.10981895
 مُّعْرِضُون,19,Noun,80.13545236
 مَكْر,19,Noun,80.16108578
يَضُرَّ,19,Verb,80.18671919
ٱسْتَعْجَلَ,19,Verb,80.21235261
يَفْقَهُ,19,Verb,80.23798602
نَفَخَ,19,Verb,80.26361944
 إِذًا,18,Surprise particle,80.28790373
 أُذُنٌ,18,Noun,80.31218801
 أَعْمَىٰ,18,Noun,80.3364723
 إِنس,18,Noun,80.36075659
 تَّوْرَىٰة,18,Proper noun,80.38504088
 دَآبَّة,18,Noun,80.40932517
 دُبُر,18,Noun,80.43360945
 دَرَجَة,18,Noun,80.45789374
 ذَا,18,Noun,80.48217803
 ذَكَر,18,Noun,80.50646232
 رَأْس,18,Noun,80.53074661
 رَيْب,18,Noun,80.5550309
 سَاجِد,18,Noun,80.57931518
 عَٰلِم,18,Noun,80.60359947
 مُنكَر,18,Noun,80.62788376
 مَوْلَىٰ,18,Noun,80.65216805
 مُّؤْمِنَٰت,18,Noun,80.67645234
تَبَيَّنَ,18,Verb,80.70073662
أُخْفِىَ,18,Verb,80.72502091
ذُكِّرَ,18,Verb,80.7493052
أَسَرَّ,18,Verb,80.77358949
عَادَ,18,Verb,80.79787378
أُعِيدُ,18,Verb,80.82215806
مَّتَّعْ,18,Verb,80.84644235
أَمْسَكَ,18,Verb,80.87072664
نِعْمَ,18,Verb,80.89501093
وَفَّىٰٓ,18,Verb,80.91929522
أَوْفَىٰ,18,Verb,80.9435795
 إِسْحَاق,17,Proper noun,80.96651467
 أَقْرَب,17,Noun,80.98944983
 أَهْوَآء,17,Noun,81.01238499
 بَطْن,17,Noun,81.03532015
 بَنَات,17,Noun,81.05825531
 تَأْوِيل,17,Noun,81.08119047
 تُرَاب,17,Noun,81.10412563
 تَقْوَى,17,Noun,81.12706079
 حَرَام,17,Adjective,81.14999595
 خَلْف,17,Noun,81.17293111
 سُلَيْمَٰن,17,Proper noun,81.19586627
 فَٰحِشَة,17,Noun,81.21880144
 قَآئِم,17,Noun,81.2417366
 لَّدُن,17,Noun,81.26467176
 مُّهْتَدُون,17,Noun,81.28760692
 نَعِيم,17,Noun,81.31054208
أَحَاطَ,17,Verb,81.33347724
أَدْرَىٰ,17,Verb,81.3564124
أُغْرِقُ,17,Verb,81.37934756
فَصَّلَ,17,Verb,81.40228272
فَضَّلَ,17,Verb,81.42521788
يَتَفَكَّرُ,17,Verb,81.44815304
ٱنقَلَبَ,17,Verb,81.47108821
كَرِهَ,17,Verb,81.49402337
أَنْعَمَ,17,Verb,81.51695853
وَدَّ,17,Verb,81.53989369
 أَظْلَم,16,Noun,81.56147972
 أَعْلَم,16,Adjective,81.58306576
 أَلْبَٰب,16,Noun,81.60465179
 بَيِّنَة,16,Adjective,81.62623782
 ثَمَرَٰت,16,Noun,81.64782386
 حَرَام,16,Noun,81.66940989
 حَمِيد,16,Adjective,81.69099593
 حَيْث,16,Noun,81.71258196
 دَاوُد,16,Proper noun,81.73416799
 سَعِير,16,Noun,81.75575403
 سُنَّة,16,Noun,81.77734006
 شَهِيد,16,Adjective,81.79892609
 عَظِيم,16,Noun,81.82051213
 فُؤَاد,16,Noun,81.84209816
 فَوْق,16,Location adverb,81.8636842
 قُرْبَىٰ,16,Noun,81.88527023
 لَو,16,Subordinating conjunction,81.90685626
 مَرْجِع,16,Noun,81.9284423
 مُّسَمًّى,16,Noun,81.95002833
 مِيزَان,16,Noun,81.97161437
 يَعْقُوب,16,Proper noun,81.9932004
أُفِكَ,16,Verb,82.01478643
بَسَطَ,16,Verb,82.03637247
أَتَمَّ,16,Verb,82.0579585
خَسِرَ,16,Verb,82.07954453
ٱسْتَمَعَ,16,Verb,82.10113057
سَارَ,16,Verb,82.1227166
فَتَحَ,16,Verb,82.14430264
فَرِحَ,16,Verb,82.16588867
قَدَّرَ,16,Verb,82.1874747
قَرَأَ,16,Verb,82.20906074
مَنَّ,16,Verb,82.23064677
أَنۢبَتَ,16,Verb,82.25223281
ٱنتَهَىٰ,16,Verb,82.27381884
هَاجَرَ,16,Verb,82.29540487
وَقَىٰ,16,Verb,82.31699091
 بُشْرَىٰ,15,Noun,82.33722781
 بَلَٰغ,15,Noun,82.35746472
 تَنزِيل,15,Noun,82.37770163
 رِجْل,15,Noun,82.39793853
 شَكّ,15,Noun,82.41817544
 صَبْر,15,Noun,82.43841235
 ظَهْر,15,Noun,82.45864925
 قَرِيب,15,Adjective,82.47888616
 قِسْط,15,Noun,82.49912307
 كُلَّمَا,15,Time adverb,82.51935997
 مُصَدِّق,15,Noun,82.53959688
 مِلَّة,15,Noun,82.55983379
 مُنذِر,15,Noun,82.58007069
 نَصْرَانِيّ,15,Proper noun,82.6003076
أَخَّرَ,15,Verb,82.62054451
أُوذِىَ,15,Verb,82.64078141
يُبْدِىَ,15,Verb,82.66101832
أَتْبَعَ,15,Verb,82.68125523
سَكَنَ,15,Verb,82.70149213
شَرِبَ,15,Verb,82.72172904
صَدَقَ,15,Verb,82.74196595
صَنَعُ,15,Verb,82.76220285
ٱعْتَدَىٰ,15,Verb,82.78243976
غَرَّ,15,Verb,82.80267667
غَلَبُ,15,Verb,82.82291357
أَغْنَىٰ,15,Verb,82.84315048
أَفْسَدُ,15,Verb,82.86338739
وَعَظْ,15,Verb,82.8836243
 ٱبْتِغَآء,14,Noun,82.90251207
 أَثَر,14,Noun,82.92139985
 أُخْت,14,Noun,82.94028763
 إِذَا,14,Surprise particle,82.95917541
 أَلْف,14,Noun,82.97806319
 أَمِين,14,Adjective,82.99695097
 بَلَد,14,Noun,83.01583875
 حُدُود,14,Noun,83.03472653
 حَرَج,14,Noun,83.05361431
